marker_ID,EC,Epi,Fib,IC,weight
2877,0.7866666666666666,0.0,0.7866666666666666,0.7866666666666666,0.7866666666666666
1646,0.7866666666666666,0.0,0.7866666666666666,0.7866666666666666,0.7866666666666666
64073,0.71,0.0,0.71,0.71,0.71
3248,0.04666666666666667,0.0,0.04666666666666667,0.04666666666666667,0.04666666666666667
10205,0.4,0.0,0.4,0.4,0.4
1999,0.8700000000000001,0.0,0.8700000000000001,0.8700000000000001,0.8700000000000001
10103,0.75,0.0,0.75,0.75,0.75
1577,0.8766666666666667,0.0,0.8766666666666667,0.8766666666666667,0.8766666666666667
347735,0.81,0.0,0.81,0.81,0.81
100131187,0.25493006993006995,0.0,0.25493006993006995,0.25493006993006995,0.25493006993006995
311,0.16153846153846155,0.0,0.16153846153846155,0.16153846153846155,0.16153846153846155
2532,0.0,0.5825,0.5825,0.5825,0.5825
6401,0.0,0.8733333333333333,0.8733333333333333,0.8733333333333333,0.8733333333333333
56999,0.0,0.0492,0.0492,0.0492,0.0492
83483,0.0,0.67,0.67,0.67,0.67
10268,0.0,0.024,0.024,0.024,0.024
10252,0.0,0.028888888888888888,0.028888888888888888,0.028888888888888888,0.028888888888888888
10203,0.0,0.1,0.1,0.1,0.1
2040,0.0,,,,0.0
54935,0.0,,,,0.0
79742,0.0,0.86,0.86,0.86,0.86
58494,0.0,0.03111111111111111,0.03111111111111111,0.03111111111111111,0.03111111111111111
1997,0.0,0.365,0.365,0.365,0.365
4154,0.0,0.6025,0.6025,0.6025,0.6025
