marker_ID,BE,EC,Fib,LE,Leu,SM
SPINT2,1.500630054849915,0.0,0.0,1.7352876664989454,0.0,0.0
NDUFV2,0.9599428503609655,0.0,0.0,1.6164868201898268,0.0,0.0
ABHD2,0.0,0.0,0.0,1.0928676860386453,0.0,0.0
UQCR10,0.0,0.0,0.0,1.478340264149347,0.0,0.0
CDC42EP5,0.0,0.0,0.0,1.2045334849859166,0.0,0.0
H1-2,0.0,0.0,0.0,1.3357088643317843,0.0,0.0
RASEF,0.0,0.0,0.0,0.6366345729263727,0.0,0.0
PHLDA2,1.8662120109517155,0.0,0.0,2.029085846068435,0.0,1.1113696098441384
MEAF6,0.0,0.0,0.0,1.3093345688387343,0.0,0.0
STEAP2,0.0,0.0,0.0,0.6926908264878926,0.0,0.0
HEBP2,1.0934802173544493,0.0,0.0,1.591080328253035,0.0,0.0
MAL2,0.0,0.0,0.0,0.8213268880424653,0.0,0.0
PPP3CA,0.0,0.0,0.0,0.894080584548499,0.0,0.0
RBM47,0.0,0.0,0.0,0.911701427998692,0.0,0.0
P4HB,0.0,0.0,0.0,1.347974807734959,0.0,0.0
BACE2,0.0,0.0,0.0,1.119449447865771,0.0,0.0
TXNIP,0.0,0.0,0.0,1.2534479143071988,0.0,0.0
IFNGR2,0.0,0.0,0.0,1.3021206057898074,0.8714767878133259,0.0
PPAP2A,0.0,0.0,0.0,0.5797680045344769,0.0,0.0
TMEPAI,0.0,0.0,0.0,1.1815097900354337,0.0,0.0
UQCR11,0.0,0.0,0.0,1.364381055453518,0.0,0.0
HEL-S-132P,0.0,0.0,0.0,1.2763615888697917,0.0,0.0
EFNA1,0.0,0.0,0.0,0.9619079363822628,0.0,0.0
BRP44,0.0,0.0,0.7081019483792024,1.2847310065050122,0.0,0.0
VAMP8,0.9932443172456318,0.0,0.0,1.3139183907842926,1.2527778496470503,0.0
KLK11,0.0,0.0,0.0,0.7485580554572845,0.0,0.0
ELOVL5,0.0,0.0,0.0,1.0951178721869277,0.0,0.0
TMEM141,0.0,0.0,0.0,0.8761132413783393,0.0,0.0
CD46,0.0,0.0,0.0,0.987421880233289,0.0,0.0
CDH1,0.0,0.0,0.0,0.875375414597078,0.0,0.0
JTB,0.0,0.0,0.0,1.2903285286642272,0.0,0.0
ANAPC11,0.0,0.0,0.0,1.3421129590375989,0.0,0.0
SERINC2,0.0,0.0,0.0,0.8272532039973122,0.0,0.0
