marker_ID,neuron,Oligo,Astro,OPC,Endo,Microglia
RGCC,0.0,0.0,0.0,0.0,1.296469528567107,0.0
HERPUD1,0.0,0.0,0.0,0.0,1.4487786360206716,0.0
MYL9,0.0,0.0,0.0,0.0,1.0112431773060555,0.0
VAMP5,0.0,0.0,0.0,0.0,1.1753489960792471,0.0
NET1,0.0,0.0,0.0,0.0,1.2058990186868404,0.0
RPS28,0.0,0.0,0.0,0.0,1.6304179847179143,0.0
Z74021,0.0,0.0,0.0,0.0,1.6400907651630616,0.0
MT-ND2,0.0,0.0,0.0,0.0,1.6935090000684152,0.0
RPL27A,0.0,0.0,0.0,0.0,1.7744726827085702,0.0
TGFBR2,0.0,0.0,0.0,0.0,1.0741022300038117,0.0
RPL35,0.0,0.0,0.0,0.0,1.773048916832082,0.0
ITGA6,0.0,0.0,0.0,0.0,1.1708408008123246,0.0
HEG1,0.0,0.0,0.0,0.0,1.0711209470487755,0.0
BST2,0.0,0.0,0.0,0.0,0.9901839863967995,0.0
CGNL1,0.0,0.0,0.0,0.0,1.0210328339007266,0.0
TAGLN2,0.0,0.0,0.0,0.0,0.9423058130239541,0.0
CLIC4,0.0,0.0,0.0,0.0,1.1727601481179704,0.0
RPL34P18,0.0,0.0,0.0,0.0,1.7297648901011309,0.0
SLC38A5,0.0,0.0,0.0,0.0,0.7496113548991443,0.0
EMCN,0.0,0.0,0.0,0.0,0.9377600894227314,0.0
RPS20,0.0,0.0,0.0,0.0,1.6372074516431776,0.0
RPS5,0.0,0.0,0.0,0.0,1.5557806741524034,0.0
PLCB4,0.0,0.0,0.0,0.0,1.4995078043065897,0.0
EEF1D,0.0,0.0,0.0,0.0,1.3521623507387903,0.0
IFI44L,0.0,0.0,0.0,0.0,0.7549670492095161,0.0
NFKBIA,0.0,0.0,0.0,0.0,0.9898835605852585,0.0
DACH1,0.0,0.0,0.0,0.0,1.2917685084846706,0.0
TBC1D4,0.0,0.0,0.0,0.0,1.2664148762758023,0.0
IFI6,0.0,0.0,0.0,0.0,1.0233232665072096,0.0
RPS3AP6,0.0,0.0,0.0,0.0,1.5517285276336037,0.0
RBMS3,0.0,0.0,0.0,0.0,1.171531231096357,0.0
ERG,0.0,0.0,0.0,0.0,0.9679139549953959,0.0
ITGB1,0.0,0.0,0.0,0.0,1.2543724685213506,0.0
ESYT2,0.0,0.0,0.0,0.0,1.5852525451754085,0.0
AL009174,0.0,0.0,0.0,0.0,1.636956900739146,0.0
PTMAP2,0.0,0.0,0.0,0.0,1.422060953925531,0.0
HES4,0.0,0.0,0.0,0.0,0.9929455591955068,0.0
JCAD,0.0,0.0,0.0,0.0,1.092935514551687,0.0
RPS17,0.0,0.0,0.0,0.0,1.4737544045200561,0.0
SLC6A1,0.0,0.0,0.0,0.0,1.5641429113697018,0.0
RPS7P1,0.0,0.0,0.0,0.0,1.4458454468751576,0.0
MT-ND1,0.0,0.0,0.0,0.0,1.700060339629156,0.0
RPL13A,0.0,0.0,0.0,0.0,1.4525892669887401,0.0
AC136632,0.0,0.0,0.0,0.0,1.5941015184360534,0.0
RPL27,0.0,0.0,0.0,0.0,1.6089843381457527,0.0
MYO1B,0.0,0.0,0.0,0.0,0.967031716102619,0.0
WWTR1,0.0,0.0,0.0,0.0,0.7479813304604248,0.0
RPS12,0.0,0.0,0.0,0.0,1.3059155156119344,0.0
HERC2P9,0.0,0.0,0.0,0.0,1.0904189617474183,0.0
AC008021,0.0,0.0,0.0,0.0,1.4776455966199444,0.0
LAPTM4A,0.0,0.0,0.0,0.0,1.1262224600647295,0.0
CRIM1,0.0,0.0,0.0,0.0,1.3971526696759788,0.0
KLF6,0.0,0.0,0.0,0.0,0.8209935724717805,0.0
MYL6,0.0,0.0,0.0,0.0,1.4642891467178614,0.0
UBA52,0.0,0.0,0.0,0.0,1.4955116657436998,0.0
ZFP36L1,0.0,0.0,0.0,0.0,0.2370867354768875,0.0
RPS7P10,0.0,0.0,0.0,0.0,1.3004527194896736,0.0
RPS13,0.0,0.0,0.0,0.0,1.4496414653581084,0.0
CD59,0.0,0.0,0.0,0.0,1.3366146484756463,0.0
RPL17P36,0.0,0.0,0.0,0.0,1.3805456716435398,0.0
RPL9P9,0.0,0.0,0.0,0.0,1.2669704190057318,0.0
HERC2P2,0.0,0.0,0.0,0.0,0.46858728197261956,0.0
MGLL,0.0,0.0,0.0,0.0,1.3085701068524194,0.0
MT-RNR1,0.0,0.0,0.0,0.0,1.6003820769132555,0.0
RPS27AP11,0.0,0.0,0.0,0.0,1.081806743523782,0.0
MYH9,0.0,0.0,0.0,0.0,0.9305784855616867,0.0
CRIP2,0.0,0.0,0.0,0.0,1.2614053273987917,0.0
RHOB,0.0,0.0,0.0,0.0,1.1864136041777722,0.0
CYB5R3,0.0,0.0,0.0,0.0,1.1094659352745095,0.0
RPL23,0.0,0.0,0.0,0.0,1.44659452807233,0.0
C12ORF57,0.0,0.0,0.0,0.0,1.0952963753096858,0.0
PTPRM,0.0,0.0,0.0,0.0,1.557311185567779,0.0
PTEN,0.0,0.0,0.0,0.0,1.444481662267802,0.0
RHOA,0.0,0.0,0.0,0.0,1.134815577002243,0.0
SPOCK2,0.0,0.0,0.0,0.0,1.4200451161227665,0.0
S100A6,0.0,0.0,0.0,0.0,1.2509915379656977,0.0
RAC1,0.0,0.0,0.0,0.0,1.4538991056721091,0.0
LY6E,0.0,0.0,0.0,0.0,1.3489751157687409,0.0
TOMM7,0.0,0.0,0.0,0.0,1.520666336346375,0.0
MYL12B,0.0,0.0,0.0,0.0,0.7151584560956715,0.0
SLC20A2,0.0,0.0,0.0,0.0,1.2933580985782143,0.0
ACTN4,0.0,0.0,0.0,0.0,1.2056954103402155,0.0
POLR2L,0.0,0.0,0.0,0.0,1.0043432398473677,0.0
RPS15A,0.0,0.0,0.0,0.0,0.7496113548991443,0.0
CSTB,0.0,0.0,0.0,0.0,1.1328880323489672,0.0
C4ORF3,0.0,0.0,0.0,0.0,1.2196876445516829,0.0
RACK1,0.0,0.0,0.0,0.0,1.3453947370934576,0.0
HMGN2,0.0,0.0,0.0,0.0,1.1864136041777722,0.0
RPL38,0.0,0.0,0.0,0.0,1.496023942788966,0.0
AL121871,0.0,0.0,0.0,0.0,1.060954849196643,0.0
CTNNB1,0.0,0.0,0.0,0.0,1.2403203788061419,0.0
EEF2,0.0,0.0,0.0,0.0,1.2716506735098143,0.0
AC034236,0.0,0.0,0.0,0.0,1.035653901031871,0.0
SGMS1,0.0,0.0,0.0,0.0,1.4200774240959753,0.0
POMP,0.0,0.0,0.0,0.0,0.9085072967268184,0.0
SH3BGRL3,0.0,0.0,0.0,0.0,0.9851654691144701,0.0
PLEKHA7,0.0,0.0,0.0,0.0,1.0932418075945654,0.0
RPL6,0.0,0.0,0.0,0.0,1.2477854705264484,0.0
RPL7AP6,0.0,0.0,0.0,0.0,1.1234145375158868,0.0
KLHL5,0.0,0.0,0.0,0.0,0.2391552711967002,0.0
RPS29,0.0,0.0,0.0,0.0,0.8204725751440671,0.0
RPL7A,0.0,0.0,0.0,0.0,1.116426386343487,0.0
SELENOM,0.0,0.0,0.0,0.0,0.7205442474216674,0.0
RPL37,0.0,0.0,0.0,0.0,0.9445216263660408,0.0
TMBIM6,0.0,0.0,0.0,0.0,1.292608940772213,0.0
NACA,0.0,0.0,0.0,0.0,1.2614956708871476,0.0
LAMTOR4,0.0,0.0,0.0,0.0,0.8216950732868394,0.0
AGFG1,0.0,0.0,0.0,0.0,0.7905672826466923,0.0
RPSA,0.0,0.0,0.0,0.0,0.9980509210391852,0.0
