marker_ID,EC,Epi,Fib,IC
RNH1,0.0,0.0,0.9288207077103765,0.0
PYURF,0.0,0.0,0.7705875717523791,0.0
LAMTOR1,0.0,0.0,0.747295864760092,0.0
FKBP8,0.0,0.0,0.7775859234138467,0.0
TCEAL4,0.0,0.0,0.9567640225477152,0.0
POLR2F,0.0,0.0,0.8564520635565809,0.0
SPTSSA,0.0,0.0,0.8992236450080053,0.0
SSR3,0.0,0.0,0.8137899928671875,0.0
CHURC1,0.0,0.0,0.6765482603656396,0.0
AYP1,0.0,0.0,0.6021220772602678,0.0
FUNDC2,0.0,0.0,0.5655420637390937,0.0
CMPK1,0.0,0.0,0.6978621515379332,0.0
SCP2,0.0,0.0,0.942694871499407,0.0
TMED10,0.0,0.0,0.9639292374986966,0.0
HDLBP,0.0,0.0,0.54967861075446,0.0
STUB1,0.0,0.0,0.4882203233503156,0.0
CAMK2N1,0.0,0.0,0.7095097998408768,0.0
GTF2H5,0.0,0.0,0.8961752294104312,0.0
COPS6,0.0,0.0,0.47011259741365397,0.0
SAR1A,0.0,0.0,0.8222749196151168,0.0
C3orf60,0.0,0.0,0.8057687398562001,0.0
SEPTIN2,0.0,0.0,0.6038617805504755,0.0
GDI2,0.0,0.0,0.4976531746229148,0.0
C1orf122,0.0,0.0,0.8642997500290418,0.0
DNAJC8,0.0,0.0,0.6873715971552932,0.0
CBX3,0.0,0.0,0.7149613528030403,0.0
PGAM1,0.0,0.0,0.841953340362795,0.0
LRPAP1,0.0,0.0,0.49481700944497964,0.0
TIMM8B,0.0,0.0,0.8659708082752005,0.0
MRP63,0.0,0.0,0.7479138892820061,0.0
LAMTOR2,0.0,0.0,0.5799368081267807,0.0
RNF181,0.0,0.0,0.7597842403421027,0.0
DYNC1I2,0.0,0.0,0.7390475376246797,0.0
RTF1,0.0,0.0,0.7724704307862745,0.0
TMCO1,0.0,0.0,0.8357825814579306,0.0
POLR2J,0.0,0.0,0.6765482603656396,0.0
NDUFS8,0.0,0.0,0.731751781164359,0.0
CTTN,0.0,0.0,0.43944664206918505,0.0
WASF2,0.0,0.0,0.760790463237632,0.0
MRPL41,0.0,0.0,0.9376512710697833,0.0
DGUOK,0.0,0.0,0.6253932066900034,0.0
MZT2A,0.0,0.0,0.4565895977536945,0.0
LSM5,0.0,0.0,0.8154618652254393,0.0
POLR2I,0.0,0.0,0.43463577235408307,0.0
SRP9,0.0,0.0,0.7294370223673383,0.0
MRPL20,0.0,0.0,0.9032697999707664,0.0
GNB2,0.0,0.0,0.47011259741365397,0.0
SCAND1,0.0,0.0,0.7955667927178249,0.0
SSU72,0.0,0.0,0.6025748181919223,0.0
NDUFB5,0.0,0.0,0.6850525702934618,0.0
TMEM147,0.0,0.0,0.6359708237642611,0.0
RNF7,0.0,0.0,0.7842411184860449,0.0
NDUFS7,0.0,0.0,0.572156489826213,0.0
NDUFAF8,0.0,0.0,0.7180149550217108,0.0
NDUFS4,0.0,0.0,0.7550856720494913,0.0
ALKBH7,0.0,0.0,0.6326858541972163,0.0
VPS29,0.0,0.0,0.42975231265768754,0.0
POLR2K,0.0,0.0,0.6731444195407028,0.0
PSMD8,0.0,0.0,0.7022695889671553,0.0
SBDS,0.0,0.0,0.8171407661815044,0.0
CSNK2B,0.0,0.0,0.2993501055076311,0.0
METAP2,0.0,0.0,0.7715506537443513,0.0
BRP44,0.0,0.0,0.20940649598321223,0.0
KRT17,0.0,3.747384950322221,0.0,0.0
AQP3,0.0,3.311093750018161,0.0,0.0
KRT19,0.0,3.4941509185500426,0.0,0.0
KRT13,0.0,2.836213433250275,0.0,0.0
LY6D,0.0,2.853781700263224,0.0,0.0
FXYD3,0.0,2.5548552134830045,0.0,0.0
AGR2,0.0,2.488518373200317,0.0,0.0
PHLDA2,0.0,2.8365846583483214,0.0,0.0
TACSTD2,0.0,2.4508723039959994,0.0,0.0
SFN,0.0,2.288752790945594,0.0,0.0
KRT18,0.0,1.9965260578411073,0.0,0.0
KRT8,0.0,1.9658071795375454,0.0,0.0
GPX2,0.0,1.9494142376715884,0.0,0.0
AKR1C2,0.0,1.8867755663138408,0.0,0.0
KRT7,0.0,1.9497772406690896,0.0,0.0
IMUP,0.0,1.747464754902859,0.0,0.0
HMGA1,0.0,1.9523664125147695,0.0,0.0
KLF5,0.0,1.6422944094801946,0.0,0.0
SPINT2,0.0,1.6353742029463567,0.0,0.0
DHRS2,0.0,1.5919628638141923,0.0,0.0
HPGD,0.0,1.5478319736198398,0.0,0.0
SPINK1,0.0,1.6148771675635296,0.0,0.0
PERP,0.0,1.7638542124227703,0.0,0.0
ANXA10,0.0,1.4337276552754126,0.0,0.0
SERPINB5,0.0,1.4308133759461366,0.0,0.0
DUOXA2,0.0,1.3458341695801956,0.0,0.0
CCL20,0.0,1.0236275374545611,0.0,0.0
ODC1,0.0,1.4719975214350325,0.0,0.0
SMIM22,0.0,1.4388138910731858,0.0,0.0
CLDN4,0.0,1.5784397933723977,0.0,0.0
