marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate
377,0.0,2.5154722104218457,0.0,2.6416673540241074,0.0,0.0
5092,1.9858205045094972,1.9767883627133251,0.0,2.326970987640738,0.0,0.0
2803,1.4620595228976088,0.0,0.0,2.4517452705971494,0.0,0.0
51119,0.0,1.5179142593494848,0.0,2.4098763112924444,0.0,2.3740703247197454
4717,0.0,0.0,0.0,1.649832501673028,0.0,0.0
573,0.0,2.1331999028090567,0.0,2.32417803748134,0.0,0.0
55766,2.313812618628595,0.0,0.0,2.326970987640738,0.0,0.0
29101,1.3782104507154223,0.0,0.0,2.3564624827348792,0.0,0.0
27069,0.0,2.464203945513571,0.0,2.614360125295255,0.0,2.295852993323254
8896,0.0,0.0,0.0,2.0053336923275227,0.0,0.0
9230,1.5438781641966963,2.1047936115555466,0.0,2.3446308344779965,0.0,0.0
6009,0.0,2.0502299081217443,0.0,2.077477110091289,0.0,0.0
200185,2.3777297298250404,2.100454263954249,0.0,2.691909595634039,0.0,0.0
664,2.1123476344171026,2.00902606546489,0.0,2.3221778288119994,0.0,0.0
23367,2.052251374749779,0.0,0.0,2.1423990384146587,0.0,0.0
83483,0.0,0.0,7.391465609008284,0.0,0.0,0.0
28984,0.0,0.0,6.281161405554835,0.0,0.0,0.0
5175,0.0,0.0,5.6881264691031586,0.0,0.0,0.0
6781,0.0,0.0,5.865412731023673,0.0,0.0,0.0
5420,0.0,0.0,5.635432050084417,0.0,0.0,0.0
22918,0.0,0.0,5.2943907416343645,0.0,0.0,0.0
2321,0.0,0.0,5.181449557005518,0.0,0.0,0.0
90952,0.0,0.0,4.914022017433144,0.0,0.0,0.0
1543,0.0,0.0,5.1827952971220554,0.0,0.0,0.0
94,0.0,0.0,4.8655243549096685,0.0,0.0,0.0
54345,0.0,0.0,4.9783649996399575,0.0,0.0,0.0
6925,0.0,0.0,4.698111952081904,0.0,0.0,0.0
51162,0.0,0.0,4.985556796664869,0.0,0.0,0.0
