marker_ID,CM,EC,FB,MP,SMC,weight
115701,0.0,0.6363473107441886,0.6363473107441886,0.6363473107441886,0.6363473107441886,0.6363473107441886
6442,0.0,0.8675258902286307,0.8675258902286307,0.8675258902286307,0.8675258902286307,0.8675258902286307
10457,0.0,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.9178044117763801,0.9178044117763801
3959,0.0,0.4047556354765514,0.4047556354765514,0.4047556354765514,0.4047556354765514,0.4047556354765514
84700,0.0,0.7268421116361203,0.7268421116361203,0.7268421116361203,0.7268421116361203,0.7268421116361203
2697,0.0,0.41,0.41,0.41,0.41,0.41
6445,0.0,0.7728411915283393,0.7728411915283393,0.7728411915283393,0.7728411915283393,0.7728411915283393
51020,0.0,0.5848596642559106,0.5848596642559106,0.5848596642559106,0.5848596642559106,0.5848596642559106
2745,0.0,0.3255100017259675,0.3255100017259675,0.3255100017259675,0.3255100017259675,0.3255100017259675
201294,0.0,0.6131863580719219,0.6131863580719219,0.6131863580719219,0.6131863580719219,0.6131863580719219
4016,0.0,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925,0.333857788544925
4000,0.0,0.03115114765730204,0.03115114765730204,0.03115114765730204,0.03115114765730204,0.03115114765730204
55679,0.0,0.9529290067816291,0.9529290067816291,0.9529290067816291,0.9529290067816291,0.9529290067816291
8692,0.878,0.0,0.878,0.878,0.878,0.878
2327,0.675,0.0,0.0,0.675,0.675,0.675
4820,0.3275,0.0,0.0,0.3275,0.3275,0.3275
10268,0.024,0.0,0.024,0.024,0.024,0.024
55303,0.91,0.0,0.91,0.0,0.91,0.91
153579,0.845,0.0,0.845,0.845,0.845,0.845
79812,0.87,0.0,0.87,0.87,0.87,0.87
947,0.28,0.0,0.0,0.28,0.28,0.28
2157,0.05411764705882353,0.0,0.05411764705882353,0.05411764705882353,0.05411764705882353,0.05411764705882353
7095,0.024320692034437333,0.0,0.0,0.024320692034437333,0.024320692034437333,0.024320692034437333
10404,0.029375000000000002,0.029375000000000002,0.0,0.029375000000000002,0.029375000000000002,0.029375000000000002
283383,0.0,0.8275,0.0,0.8275,0.8275,0.8275
2252,0.0,0.64,0.0,0.64,0.64,0.64
10550,0.0,0.0029065640240116576,0.0,0.0029065640240116576,0.0029065640240116576,0.0029065640240116576
710,0.75,0.75,0.0,0.75,0.0,0.75
10252,0.028888888888888888,0.0,0.0,0.028888888888888888,0.0,0.028888888888888888
8722,0.0,0.88125,0.0,0.88125,0.88125,0.88125
5320,0.9299999999999999,0.9299999999999999,0.0,0.9299999999999999,0.0,0.9299999999999999
6277,0.023636363636363636,0.023636363636363636,0.0,0.0,0.023636363636363636,0.023636363636363636
2878,0.0,0.088,0.0,0.088,0.088,0.088
23741,0.0,0.041020499894326753,0.0,0.041020499894326753,0.041020499894326753,0.041020499894326753
3320,0.0,0.03416988669741102,0.03416988669741102,0.0,0.03416988669741102,0.03416988669741102
1522,0.4261904761904762,0.4261904761904762,0.4261904761904762,0.0,0.4261904761904762,0.4261904761904762
1997,0.365,0.0,0.365,0.0,0.365,0.365
10398,0.0,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.0,0.1652941176470588
800,0.9,0.9,0.0,0.9,0.0,0.9
11034,0.0,0.028221079301623615,0.0,0.028221079301623615,0.0,0.028221079301623615
8404,0.58,0.0,0.0,0.58,0.0,0.58
1465,0.8013888888888889,0.8013888888888889,0.0,0.8013888888888889,0.0,0.8013888888888889
10395,0.7766666666666666,0.0,0.7766666666666666,0.7766666666666666,0.0,0.7766666666666666
11142,0.0,0.10837589924274679,0.0,0.10837589924274679,0.0,0.10837589924274679
151230,0.039047619047619046,0.039047619047619046,0.039047619047619046,0.039047619047619046,0.0,0.039047619047619046
3488,0.5125,0.5125,0.0,0.5125,0.0,0.5125
3280,0.029166666666666667,0.029166666666666667,0.0,0.029166666666666667,0.0,0.029166666666666667
730,0.47,0.47,0.0,0.47,0.47,0.47
715,0.0325,0.0325,0.0,0.0325,0.0325,0.0325
125,0.675,0.675,0.0,0.675,0.675,0.675
347,0.815,0.815,0.0,0.815,0.815,0.815
5764,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
