marker_ID,EC,Epi_basal,Epi_stratified,Epi_suprabasal,Epi_upper,Fib,Gland,IC
VSIG10L,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
SH3BGRL2,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
TMOD3,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
EHF,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.6931471824645996,0.0
CRYAB,0.0,0.0,0.0,0.0,1.0986123085021973,0.6931471824645996,0.0,0.0
SMIM5,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
ABLIM1,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
TMPRSS11A,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
BNIP3,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
IVL,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
PADI1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
ATP6V1D,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
GIPC1,0.0,0.0,0.6931471824645996,0.6931471824645996,1.3862943649291992,0.0,0.0,0.0
DIO2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
MLLT4,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
PRDM1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
FMO2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
CEACAM1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
CCDC64B,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
GRPEL2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
EPS8L2,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
TTC9,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
TMBIM1,0.0,0.0,0.6931471824645996,0.6931471824645996,1.0986123085021973,0.0,0.0,0.0
ZNF185,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
MAL2,0.0,0.0,1.0986123085021973,0.6931471824645996,1.3862943649291992,0.0,0.0,0.0
PPP1R3C,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
FUT3,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
RALA,0.0,0.0,0.6931471824645996,0.6931471824645996,1.0986123085021973,0.0,0.0,0.0
LRP10,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
NAPRT,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
ASPG,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
FAM83A,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
LPIN1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
GNA15,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
SERINC2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
RAB11FIP1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
TMEM45B,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
C7orf73,0.0,0.0,1.0986123085021973,0.6931471824645996,1.3862943649291992,0.0,0.0,0.0
RIOK3,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
SLK,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
EVPL,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
AIM1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
NMRK1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
PRSS8,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
QSOX1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
HM13,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
STK24,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
PAX9,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
DMKN,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
KATNBL1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
SMAGP,0.0,0.0,0.6931471824645996,0.0,1.0986123085021973,0.0,0.0,0.0
UBE2B,0.0,0.0,0.0,0.0,1.0986123085021973,0.0,0.0,0.0
SH3GL1,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
KLK7,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
PHACTR4,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
CD68,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
EPHA2,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0,0.0
