stem_pluri,stem_adult,progenitor,cycling,secretory,immune,terminal,stromal,gsm,cohort,n_markers,resid_mae,status
0.0,0.16849170043491912,0.0,0.0,0.0,0.831508299565081,0.0,0.0,GSM1235654,GSE51057,806,0.11384975634879295,OK
0.0,0.1858334720375504,0.0,0.0,0.0,0.8141665279624496,0.0,0.0,GSM1235655,GSE51057,885,0.10926409903093688,OK
0.0,0.15063931485375237,0.0,0.0,0.0,0.8493606851462476,0.0,0.0,GSM1235657,GSE51057,829,0.11419765144253811,OK
0.0,0.17202818263499964,0.0,0.0,0.0,0.8279718173650005,0.0,0.0,GSM1235659,GSE51057,841,0.11215406417422785,OK
0.0,0.11369985469789834,0.0,0.0,0.0,0.8863001453021015,0.0,0.0,GSM1235660,GSE51057,835,0.1099055293412514,OK
0.0,0.14770160775667585,0.0,0.0,0.0,0.8522983922433243,0.0,0.0,GSM1235661,GSE51057,801,0.11462512166838817,OK
0.0,0.14928723815829759,0.0,0.0,0.0,0.8507127618417024,0.0,0.0,GSM1235664,GSE51057,823,0.11265381214378513,OK
0.0,0.14289308338593332,0.0,0.0,0.0,0.8571069166140667,0.0,0.0,GSM1235667,GSE51057,865,0.10948021276517447,OK
0.0,0.13923451614622095,0.0,0.0,0.0,0.860765483853779,0.0,0.0,GSM1235670,GSE51057,877,0.1133574567821414,OK
0.0,0.18180227188910236,0.0,0.0,0.0,0.8181977281108975,0.0,0.0,GSM1235672,GSE51057,841,0.11472817789767589,OK
0.0,0.15010324765578886,0.0,0.0,0.0,0.8498967523442111,0.0,0.0,GSM1235677,GSE51057,835,0.11234677709284623,OK
0.0,0.14476241881264018,0.0,0.0,0.0,0.8552375811873598,0.0,0.0,GSM1235679,GSE51057,759,0.11550917701518168,OK
0.0,0.18395169205785966,0.0,0.0,0.0,0.8160483079421404,0.0,0.0,GSM1235680,GSE51057,902,0.10311202040748818,OK
0.0,0.14151711544161577,0.0,0.0,0.0,0.8584828845583842,0.0,0.0,GSM1235683,GSE51057,827,0.11112354298493471,OK
