marker_ID,EC,Epi,Lym,Mye,Stromal,weight
22918,0.0,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496,0.6015441923324496
6035,0.0,0.875,0.875,0.875,0.875,0.875
10974,0.0,0.6705169692134806,0.6705169692134806,0.6705169692134806,0.6705169692134806,0.6705169692134806
161198,0.0,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681,0.7816798560661681
55303,0.0,0.91,0.91,0.91,0.91,0.91
3384,0.0,0.792154125,0.792154125,0.792154125,0.792154125,0.792154125
168537,0.0,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231,0.7504331019515231
25937,0.0,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367,0.566392560112367
64129,0.0,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183,0.1632138375250183
4820,0.0,0.3275,0.3275,0.3275,0.3275,0.3275
4258,0.0,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664
