marker_ID,EC,Epi,Lym,Mye,Stromal
ZFAS1,0.0,0.0,0.0,0.831611264219504,0.0
PSMB3,0.0,0.0,0.0,0.8817107127279029,0.0
RBX1,0.0,0.0,0.0,0.5505545100478499,0.0
JCHAIN,0.0,0.0,5.699128948671312,0.0,0.0
IGHA2,0.0,0.0,2.711562933617251,0.0,0.0
IGHA1,0.0,0.0,4.46894287989428,0.5981398859439853,0.0
IGKC,0.0,0.0,2.818595659406755,0.9157211106568524,0.0
MZB1,0.0,0.0,1.6912779453803963,0.0,0.0
IGKV3-20,0.0,0.0,0.3220186146069365,0.0,0.0
HERPUD1,0.0,0.0,2.072960819794877,0.9797887784615071,0.0
ISG20,0.0,0.0,1.238788935996984,0.0,0.0
CD79A,0.0,0.0,0.9460943196594788,0.0,0.0
RAC2,0.0,0.0,0.6406141451276726,0.0,0.0
LSP1,0.0,0.0,1.0278356388206094,0.9168010355158893,0.0
DERL3,0.0,0.0,0.7877767029156442,0.0,0.0
CYTIP,0.0,0.0,0.6826887870310521,0.0,0.0
TNFAIP3,0.0,0.0,0.3825632114395325,0.0,0.0
FKBP11,0.0,0.0,1.096782443431216,0.0,0.0
SEC11C,0.0,0.0,1.103704768180604,0.0,0.0
BIRC3,0.0,0.0,0.635821562963419,0.0,0.0
IGLC2,0.0,0.0,0.8082832764026668,0.0,0.0
GYPC,0.0,0.0,0.8675710043124762,0.0,0.0
UBE2J1,0.0,0.0,1.056338099953908,0.0,0.0
TENT5C,0.0,0.0,0.3902192030266303,0.0,0.0
XBP1,0.0,0.0,1.2772194197341595,0.0,0.0
STK4,0.0,0.0,0.5106391986540135,0.0,0.0
PIM2,0.0,0.0,0.26460928107204196,0.0,0.0
STK17B,0.0,0.0,0.311910889712688,0.0,0.0
SPCS1,0.0,0.0,1.4061442561497346,0.0,0.8848738621848588
EZR,0.0,0.0,1.1012861049853175,0.0,0.0
CFLAR,0.0,0.0,0.8096130309197855,0.0,0.0
JAK1,0.0,0.0,0.48004267592420713,0.0,0.0
HM13,0.0,0.0,0.4964382997675298,0.0,0.0
SPCS3,0.0,0.0,0.7089051781545688,0.0,0.0
SSR2,0.0,0.0,1.057869974559554,0.0,0.9772006299263791
TRAM1,0.0,0.0,0.7672191049560393,0.0,0.0
SSR3,0.0,0.0,1.027475529183834,0.0,0.0
HDLBP,0.0,0.0,0.6896655888973744,0.0,0.0
RPN2,0.0,0.0,0.528653187553347,0.0,0.0
ANKRD12,0.0,0.0,0.47601339969381284,0.0,0.0
TAPBP,0.0,0.0,0.3482157479619068,0.0,0.0
TMED10,0.0,0.0,0.8989484230085854,0.0,0.0
LMAN1,0.0,0.0,0.37783149105764713,0.0,0.0
RPL22L1,0.0,0.0,0.5827121218210422,0.0,0.0
RPN1,0.0,0.0,0.5585838535465584,0.0,0.0
KMT2E,0.0,0.0,0.6309691515217528,0.0,0.0
LMAN2,0.0,0.0,0.43706581335869576,0.0,0.0
ERP29,0.0,0.0,0.8030941794511721,0.0,0.0
UBE2D2,0.0,0.0,0.5206829529921153,0.0,0.0
SRSF7,0.0,0.0,0.3933594263472826,0.0,0.0
TMED9,0.0,0.0,0.6806966816823798,0.0,0.0
REEP5,0.0,0.0,0.5532882817557923,0.0,0.0
EIF5,0.0,0.0,0.6967414673052421,0.0,0.0
