gsm,arm,cohort,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
GSM1235664,hc,GSE51057,-0.8664721886549537,-0.040332121166000844,-0.7415819807135272,0.6224212049011145,-0.20399833295572922,0.1625866359567646,-0.22260648600470043,0.18202977851071736
GSM1235670,hc,GSE51057,-3.06493362394633,-0.04247891671218378,-0.7170904924694187,1.029857968509642,-0.3336806848116825,-0.21084313143110966,0.22243518252743733,-0.30232530199774876
GSM1235672,hc,GSE51057,-3.0985336282748874,-0.29917856484831545,1.3388391220981304,0.5577453863932065,-0.2373466227227951,0.19309102860436475,-0.1692507775536069,-0.10123449185596792
GSM1235677,hc,GSE51057,0.6975920436314685,0.19937394990697127,-0.3188814778890458,0.5114244885388665,-0.4637022136792262,-0.024768495919749632,0.005639201242479445,0.013713101032224185
GSM1235694,hc,GSE51057,-2.123706140472783,-0.2985745421382255,-0.41171770627056054,0.3328510785090192,-0.07708146128676467,0.44599420262697576,0.11234138585459938,-0.19393456974322607
GSM1235703,hc,GSE51057,-0.12191551193275453,-0.24112086035398986,-0.7954698812628179,-0.5131780991254506,-0.328439982018369,0.14879894282655934,-0.019281734097875872,0.05022940611589008
GSM1235721,hc,GSE51057,-1.2003044070510422,0.8732164857832782,-1.7932303496874338,1.4312113163981386,-0.5048641339354873,-0.038910317651166156,0.059036309604203856,-0.14646745976704806
GSM1235730,hc,GSE51057,-1.0717739639753074,-0.6319176775247332,0.19087262508557137,0.2602519938950852,-1.1198559934899863,-0.01583465360274482,0.14541990417037656,0.03652148257507607
GSM1235740,hc,GSE51057,-1.5544363194251123,-0.8592899495278249,0.4634400733292348,-0.08456712697245296,-0.6494317685437611,-0.08065708852702218,0.15100374257394475,-0.08897638897645108
GSM1235752,hc,GSE51057,-2.641512261575032,0.3730077173428152,-1.0931529875560981,0.6477246537952738,-0.6514879879854075,0.06804340257017491,0.048743368357817785,-0.04690405095944385
GSM1235782,hc,GSE51057,0.1462276732456581,-0.5142243387959865,-0.160762882289469,0.5138410329878773,-0.3452962686887091,0.2104280127123908,0.11020253297263688,0.20572463264881755
GSM1235784,hc,GSE51057,0.30174409828803517,0.4650302907189774,-1.0760612607542839,0.008341281099975669,-0.16673092186220687,0.3084931176149641,-0.10584173371495391,-0.19124971920363776
GSM1235786,hc,GSE51057,-1.7244356138992187,0.1361772897082194,-1.1554306617369472,-1.2251239674553667,-0.49672135187988214,0.3315448836793278,-0.027560651511777726,0.281265873388866
GSM1235790,hc,GSE51057,0.34965185766019624,-0.33045782179498046,-0.08527367418567242,-0.01524939128431713,-0.09185061428782348,0.10898244319799877,-0.017894189163970182,0.12883951633702637
GSM1235804,hc,GSE51057,-6.783971435909301,2.23814358609956,-1.1653668571850067,-2.094560230981015,-0.47349275508412275,0.2708151806505339,-0.33368327402065756,0.014176010321792373
GSM1235811,hc,GSE51057,-3.6394160834266165,0.5156976708863289,-1.7129267539965534,1.0803448575718029,0.17815445160922613,-0.22857221361351154,-0.3190474954857781,-0.06036396198410406
GSM1235812,hc,GSE51057,-1.0907876436764306,0.743628004181522,0.15141808120116862,-0.16921622934936115,0.19982507726483048,0.010016667954598425,0.26922171479922824,0.2708667260259979
GSM1235813,hc,GSE51057,0.7873617031384752,-0.10028212550699504,0.4948132153376345,-0.5915339429253561,-0.11040668796736895,-0.054383247071396135,-0.10563443093373501,0.33839990994074926
GSM1235815,hc,GSE51057,-1.761842307418585,-0.36625942755111807,0.6021102967899697,0.2221263933227546,0.1717685353435018,0.9296302972478173,0.04027356705918347,-0.1678336074257356
GSM1235816,hc,GSE51057,0.6032594860229201,-0.4100300837674281,0.3094786452149868,-0.19938138351599843,0.4050048316723615,0.26366566709622663,0.12873584455686715,-0.05903214245498619
GSM1235817,hc,GSE51057,-1.9153599010456483,-0.05571922990206331,-1.0112942012703863,1.1460766374520766,0.28874904259287537,0.14101873675843074,-0.24320741750167943,-0.10720191769045398
GSM1235818,hc,GSE51057,0.639594519644593,-0.24427583573362383,1.0983497470535424,0.2673329003567344,0.1259772413854328,0.3424774807076876,0.05687747599829313,0.08896148741805518
