"","CM","EC","FB","MP","SMC","weight"
"715",0.0325,0.0325,0,0.0325,0.0325,0.0325
"125",0.675,0.675,0,0.675,0.675,0.675
"347",0.815,0.815,0,0.815,0.815,0.815
"5764",0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333
"8076",0.86,0.86,0,0.86,0.86,0.86
"25890",0.45,0.45,0,0.45,0.45,0.45
"1805",0.885,0.885,0,0.885,0.885,0.885
"94031",0.0534848484848485,0.0534848484848485,0,0.0534848484848485,0.0534848484848485,0.0534848484848485
"6035",0,0,0,0,0.875,0.875
"3399",0.0285714285714286,0,0,0.0285714285714286,0,0.0285714285714286
"9452",0.3,0,0.3,0.3,0.3,0.3
"9351",0.0609090909090909,0,0.0609090909090909,0.0609090909090909,0.0609090909090909,0.0609090909090909
"2040",0.694509219786758,0,0.694509219786758,0.694509219786758,0.694509219786758,0.694509219786758
"11343",0.117024265644955,0,0.117024265644955,0.117024265644955,0,0.117024265644955
"10345",0,0.78,0.78,0.78,0.78,0.78
"1160",0,0.167692307692308,0.167692307692308,0.167692307692308,0.167692307692308,0.167692307692308
"23676",0,0.92,0.92,0.92,0.92,0.92
"165904",0,0.885,0.885,0.885,0.885,0.885
"6546",0,0.9025,0.9025,0.9025,0.9025,0.9025
"79933",0,0.886666666666667,0.886666666666667,0.886666666666667,0.886666666666667,0.886666666666667
"26521",0,0.0293911616453238,0.0293911616453238,0.0293911616453238,0.0293911616453238,0.0293911616453238
"4719",0,0.0163082987047697,0.0163082987047697,0.0163082987047697,0.0163082987047697,0.0163082987047697
"50486",0,0.0248809523809524,0.0248809523809524,0.0248809523809524,0.0248809523809524,0.0248809523809524
"84676",0,0.736666666666667,0.736666666666667,0.736666666666667,0.736666666666667,0.736666666666667
"401265",0,0.415454545454545,0.415454545454545,0.415454545454545,0.415454545454545,0.415454545454545
"167838",0,0.55,0.55,0.55,0.55,0.55
"90523",0,0.81,0.81,0.81,0.81,0.81
"6236",0,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0576923076923077
"150572",0,0.77,0.77,0.77,0.77,0.77
"5019",0,0.222727272727273,0.222727272727273,0.222727272727273,0.222727272727273,0.222727272727273
"4724",0,0.0296529337108292,0.0296529337108292,0.0296529337108292,0.0296529337108292,0.0296529337108292
"146862",0,0.5725,0.5725,0.5725,0.5725,0.5725
"10231",0,0.158,0.158,0.158,0.158,0.158
"91807",0,0.70625,0.70625,0.70625,0.70625,0.70625
"54539",0,0.108846636833229,0.108846636833229,0.108846636833229,0.108846636833229,0.108846636833229
"56942",0,0.0315343003381411,0.0315343003381411,0.0315343003381411,0.0315343003381411,0.0315343003381411
"10267",0,0.1115625,0.1115625,0.1115625,0.1115625,0.1115625
"113622",0,0.835,0.835,0.835,0.835,0.835
"157310",0,0.735,0.735,0.735,0.735,0.735
"22906",0,0.827993627466717,0.827993627466717,0.827993627466717,0.827993627466717,0.827993627466717
"4695",0,0.0409096332817691,0.0409096332817691,0.0409096332817691,0.0409096332817691,0.0409096332817691
"1891",0,0.0438816265603941,0.0438816265603941,0.0438816265603941,0.0438816265603941,0.0438816265603941
"2287",0,0.0340322165794209,0.0340322165794209,0.0340322165794209,0.0340322165794209,0.0340322165794209
"6638",0,0.525209218848025,0.525209218848025,0.525209218848025,0.525209218848025,0.525209218848025
"84033",0,0.464,0.464,0.464,0.464,0.464
"92235",0,0.91,0.91,0.91,0.91,0.91
"27309",0,0.030395304298774,0.030395304298774,0.030395304298774,0.030395304298774,0.030395304298774
"50808",0,0.0843422102774502,0.0843422102774502,0.0843422102774502,0.0843422102774502,0.0843422102774502
"5092",0,0.174530802254844,0.174530802254844,0.174530802254844,0.174530802254844,0.174530802254844
"22808",0,0.628333333333333,0.628333333333333,0.628333333333333,0.628333333333333,0.628333333333333
"311",0,0.161538461538462,0.161538461538462,0.161538461538462,0.161538461538462,0.161538461538462
"477",0,0.44,0.44,0.44,0.44,0.44
"3316",0,0.398,0.398,0.398,0.398,0.398
"57159",0,0.71,0.71,0.71,0.71,0.71
