marker_ID,Basal,Fib,Gland,Macro,NeuIm,NeuMa,Peri,Plasma,Tcell
LMCD1,0.0,0.0,0.0,0.0,0.0,0.0,1.4505934966422807,0.0,0.0
THBD,0.0,0.0,0.0,0.0,0.0,0.0,1.3649307493572975,0.0,0.0
CD34,0.0,0.0,0.0,0.0,0.0,0.0,1.3565243806290652,0.0,0.0
CAVIN2,0.0,0.0,0.0,0.0,0.0,0.0,1.3514100666239552,0.0,0.0
SLC9A3R2,0.0,0.0,0.0,0.0,0.0,0.0,1.2670517680962357,0.0,0.0
SOX17,0.0,0.0,0.0,0.0,0.0,0.0,1.2076956337582119,0.0,0.0
TM4SF18,0.0,0.0,0.0,0.0,0.0,0.0,1.2093427946013975,0.0,0.0
GIMAP7,0.0,0.0,0.0,0.0,0.0,0.0,1.4879506691299396,0.0,0.0
SOX18,0.0,0.0,0.0,0.0,0.0,0.0,1.1671674060724082,0.0,0.0
TGFBR2,0.0,0.0,0.0,0.0,0.0,0.0,1.3663797509228959,0.0,0.0
PALMD,0.0,0.0,0.0,0.0,0.0,0.0,1.2241143604220688,0.0,0.0
ENG,0.0,0.0,0.0,0.0,0.0,0.0,1.197513425367342,0.0,0.0
CYYR1,0.0,0.0,0.0,0.0,0.0,0.0,1.185860460778972,0.0,0.0
PCAT19,0.0,0.0,0.0,0.0,0.0,0.0,1.0423894295723732,0.0,0.0
PODXL,0.0,0.0,0.0,0.0,0.0,0.0,1.0270293732924596,0.0,0.0
APOLD1,0.0,0.0,0.0,0.0,0.0,0.0,0.9805168603941472,0.0,0.0
JAM2,0.0,0.0,0.0,0.0,0.0,0.0,1.2342890609330293,0.0,0.0
IRF1,0.0,0.0,0.0,0.0,0.0,0.0,1.5980614059297704,0.0,0.0
ABCG2,0.0,0.0,0.0,0.0,0.0,0.0,0.9982401985833451,0.0,0.0
RAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.9994319685784756,0.0,0.0
PECAM1,0.0,0.0,0.0,0.0,0.0,0.0,1.0144477523973214,0.0,0.0
FLT1,0.0,0.0,0.0,0.0,0.0,0.0,0.8767384699848505,0.0,0.0
FAM13C,0.0,0.0,0.0,0.0,0.0,0.0,1.0206283603439579,0.0,0.0
ESAM,0.0,0.0,0.0,0.0,0.0,0.0,0.97111919375777,0.0,0.0
SLC2A3,0.0,0.0,0.0,0.0,0.0,0.0,1.4429362425426837,0.0,0.0
CD93,0.0,0.0,0.0,0.0,0.0,0.0,0.9496427400798007,0.0,0.0
VAMP5,0.0,0.0,0.0,0.0,0.0,0.0,1.2044396733109726,0.0,0.0
RUNDC3B,0.0,0.0,0.0,0.0,0.0,0.0,0.8562087786579163,0.0,0.0
GIMAP4,0.0,0.0,0.0,0.0,0.0,0.0,1.1568148412651804,0.0,0.0
FAM110D,0.0,0.0,0.0,0.0,0.0,0.0,0.8410611286194372,0.0,0.0
ADAMTS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0030258276077104,0.0,0.0
NRN1,0.0,0.0,0.0,0.0,0.0,0.0,0.9002753165521786,0.0,0.0
PLAT,0.0,0.0,0.0,0.0,0.0,0.0,0.7870418549014406,0.0,0.0
CAV2,0.0,0.0,0.0,0.0,0.0,0.0,1.1572408836797874,0.0,0.0
TNFSF10,0.0,0.0,0.0,0.0,0.0,0.0,1.240401871671794,0.0,0.0
TACC1,0.0,0.0,0.0,0.0,0.0,0.0,1.364569051296722,0.0,0.0
HEG1,0.0,0.0,0.0,0.0,0.0,0.0,0.9786815602622067,0.0,0.0
EHD4,0.0,0.0,0.0,0.0,0.0,0.0,0.963458835671719,0.0,0.0
CALCRL,0.0,0.0,0.0,0.0,0.0,0.0,0.8623799316897606,0.0,0.0
ARHGAP29,0.0,0.0,0.0,0.0,0.0,0.0,1.0549940508493356,0.0,0.0
GIMAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.9518832341904997,0.0,0.0
NOSTRIN,0.0,0.0,0.0,0.0,0.0,0.0,0.8087834455879062,0.0,0.0
MYCT1,0.0,0.0,0.0,0.0,0.0,0.0,0.8503571361957868,0.0,0.0
PLVAP,0.0,0.0,0.0,0.0,0.0,0.0,0.7144580667777466,0.0,0.0
SH3BP5,0.0,0.0,0.0,0.0,0.0,0.0,1.1178839024629117,0.0,0.0
TMEM88,0.0,0.0,0.0,0.0,0.0,0.0,0.6949017868504266,0.0,0.0
ADAM15,0.0,0.0,0.0,0.0,0.0,0.0,0.860857390172836,0.0,0.0
HSPG2,0.0,0.0,0.0,0.0,0.0,0.0,0.8590490586202406,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,1.0379135917223656,0.0,0.0
