marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal
MYEOV2,0.0,0.6496723834228718,0.0,0.0,0.6493663923500356,0.7242345130802516,0.0
SET,0.0,0.7229497672769334,0.0,0.0,0.5629575686554534,0.794550111923531,0.0
TRAPPC1,0.0,1.0405111809632412,0.0,1.1368229171816588,1.1171963134005118,1.1398509516326092,0.0
SNRPG,0.0,0.862911351609726,0.6683071626593873,0.0,0.9034071543424284,0.9570896269938386,0.0
C14orf166,0.0,0.7582599272241813,0.0,0.0,0.8682524973241573,0.8987468518758951,0.0
SRSF9,0.0,0.8189647003822667,0.0,0.0,0.796444101943918,0.8433554746896749,0.0
C1QA,0.0,0.0,0.0,0.0,4.445124974511194,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,4.41582795160913,0.0,0.0
FABP4,0.0,0.0,0.0,0.0,4.2129530412931615,0.0,0.0
APOC1,0.0,0.0,0.0,0.0,3.8573793896119257,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,3.5686311680940452,0.0,0.0
MARCO,0.0,0.0,0.0,0.0,2.798753696983897,0.0,0.0
MCEMP1,0.0,0.0,0.0,0.0,2.598335622564676,0.0,0.0
CCL18,0.0,0.0,0.0,0.0,2.5545815787424915,0.0,0.0
VSIG4,0.0,0.0,0.0,0.0,2.4943356998378734,0.0,0.0
ACP5,0.0,0.0,0.0,0.0,2.4714052197426652,0.0,0.0
TREM1,0.0,0.0,0.0,0.0,2.070734661881439,0.0,0.0
APOE,0.0,0.0,0.0,0.0,1.9726959067964664,0.0,0.0
FCGR3A,0.0,0.0,0.0,0.0,2.1546002398885524,0.0,0.0
GCHFR,0.0,0.0,0.0,0.0,2.0856966135555606,0.0,0.0
MRC1,0.0,0.0,0.0,0.0,1.7774593685425442,0.0,0.0
GPNMB,0.0,0.0,0.0,0.0,1.8105619598481382,0.0,0.0
MSR1,0.0,0.0,0.0,0.0,1.5783796478062764,0.0,0.0
OLR1,0.0,0.0,0.0,0.0,1.6631569965348165,0.0,0.0
MS4A4A,0.0,0.0,0.0,0.0,1.7073859016646584,0.0,0.0
CYP27A1,0.0,0.0,0.0,0.0,1.7125440527487938,0.0,0.0
CTSL,0.0,0.0,0.0,0.0,1.8345076226673136,0.0,0.0
LIPA,0.0,0.0,0.0,0.0,1.6239136317170886,0.0,0.0
IFI6,0.0,0.0,0.0,0.0,1.7444361931794554,0.0,0.0
HP,0.0,0.0,0.0,0.0,1.3856946609519925,0.0,0.0
SNX10,0.0,0.0,0.0,0.0,1.403851545364863,0.0,0.0
HEXB,0.0,0.0,0.0,0.0,1.5807154785683284,0.0,0.0
VMO1,0.0,0.0,0.0,0.0,1.2323314779936974,0.0,0.0
RBP4,0.0,0.0,0.0,0.0,1.0732064650778557,0.0,0.0
LAMP2,0.0,0.0,0.0,0.0,1.5095844702760752,0.0,0.0
SLC11A1,0.0,0.0,0.0,0.0,1.164829276339909,0.0,0.0
LINC01272,0.0,0.0,0.0,0.0,1.1112137155461135,0.0,0.0
PNPLA6,0.0,0.0,0.0,0.0,1.1546377522596272,0.0,0.0
SNX2,0.0,0.0,0.0,0.0,1.4471484372185668,0.0,0.0
DECR1,0.0,0.0,0.0,0.0,1.4510319767065567,0.0,0.0
PHLDA3,0.0,0.0,0.0,0.0,1.1663551671596937,0.0,0.0
HEXA,0.0,0.0,0.0,0.0,1.3290224870374239,0.0,0.0
CD163,0.0,0.0,0.0,0.0,0.9731515531624539,0.0,0.0
RETN,0.0,0.0,0.0,0.0,0.8425515752842915,0.0,0.0
FCGR1A,0.0,0.0,0.0,0.0,1.0005180707869845,0.0,0.0
GRINA,0.0,0.0,0.0,0.0,1.211408830907338,0.0,0.0
OSCAR,0.0,0.0,0.0,0.0,1.0017936153998228,0.0,0.0
PGD,0.0,0.0,0.0,0.0,1.144353669988183,0.0,0.0
CTSA,0.0,0.0,0.0,0.0,1.3231079728564,0.0,0.0
PPARG,0.0,0.0,0.0,0.0,0.9963146044626583,0.0,0.0
DNASE2,0.0,0.0,0.0,0.0,1.1468103469287891,0.0,0.0
IGSF6,0.0,0.0,0.0,0.0,0.9530567030767854,0.0,0.0
PTPMT1,0.0,0.0,0.0,0.0,1.2300227897234948,0.0,0.0
LYAR,0.0,0.0,0.0,0.0,1.087536226068903,0.0,0.0
ISG15,0.0,0.0,0.0,0.0,1.2658393604188738,0.0,0.0
C20orf27,0.0,0.0,0.0,0.0,1.033284977959614,0.0,0.0
PCOLCE2,0.0,0.0,0.0,0.0,0.9196034890070651,0.0,0.0
SCPEP1,0.0,0.0,0.0,0.0,1.2647083462245654,0.0,0.0
HNMT,0.0,0.0,0.0,0.0,1.0497998393001342,0.0,0.0
