,BE,EC,Fib,LE,Leu,SM,weight
140576,0.0,0.0,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333
3914,0.0,0.6380300959605266,0.6380300959605266,0.6380300959605266,0.6380300959605266,0.6380300959605266,0.6380300959605266
26298,0.0,0.7250672507561546,0.7250672507561546,0.7250672507561546,0.7250672507561546,0.7250672507561546,0.7250672507561546
57402,0.0,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534,0.8300055012965534
1265,0.0,nan,nan,nan,nan,nan,0.0
6876,0.49636363636363634,0.49636363636363634,0.49636363636363634,0.49636363636363634,0.49636363636363634,0.0,0.49636363636363634
10398,0.0,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.1652941176470588,0.0,0.1652941176470588
800,0.9,0.9,0.0,0.0,0.9,0.0,0.9
8404,0.58,0.0,0.0,0.58,0.58,0.0,0.58
2701,0.8876190476190476,0.8876190476190476,0.8876190476190476,0.8876190476190476,0.8876190476190476,0.0,0.8876190476190476
2878,0.088,0.088,0.088,0.088,0.088,0.0,0.088
6649,0.3639285714285714,0.3639285714285714,0.0,0.3639285714285714,0.3639285714285714,0.0,0.3639285714285714
2098,nan,nan,nan,nan,nan,0.0,0.0
7305,0.81,0.81,0.81,0.81,0.0,0.81,0.81
712,0.85,0.85,0.85,0.85,0.0,0.85,0.85
714,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,0.0,0.8866666666666667,0.8866666666666667
1880,0.75,0.75,0.75,0.75,0.0,0.75,0.75
50486,0.024880952380952382,0.024880952380952382,0.0,0.024880952380952382,0.0,0.024880952380952382,0.024880952380952382
1522,0.4261904761904762,0.4261904761904762,0.4261904761904762,0.4261904761904762,0.0,0.4261904761904762,0.4261904761904762
968,0.44,0.44,0.44,0.44,0.0,0.44,0.44
2212,0.8966666666666666,0.8966666666666666,0.8966666666666666,0.8966666666666666,0.0,0.8966666666666666,0.8966666666666666
