marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate,weight
22936,0.0,0.06555555555555556,0.06555555555555556,0.0,0.06555555555555556,0.06555555555555556,0.06555555555555556
51124,,,,0.0,,,0.0
6342,,,,0.0,,,0.0
497661,,,,0.0,,,0.0
25915,,0.0,,0.0,,0.0,0.0
100131187,0.0,0.25493006993006995,0.25493006993006995,0.0,0.25493006993006995,0.25493006993006995,0.25493006993006995
4695,,0.0,,0.0,,,0.0
5092,0.0,0.0,,0.0,,,0.0
55766,0.0,,,0.0,,,0.0
27069,,0.0,,0.0,,0.0,0.0
23367,0.0,,,0.0,,,0.0
83483,0.67,0.67,0.0,0.67,0.67,0.67,0.67
94,0.6333333333333333,0.6333333333333333,0.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
23452,0.085,0.085,0.0,0.085,0.085,0.085,0.085
11007,,,0.0,,,,0.0
9351,0.060909090909090906,0.060909090909090906,0.0,0.060909090909090906,0.060909090909090906,0.060909090909090906,0.060909090909090906
2040,,,0.0,,,,0.0
8692,0.878,0.878,0.0,0.878,0.878,0.878,0.878
8682,,,0.0,,,,0.0
3340,0.8066666666666666,0.8066666666666666,0.0,0.8066666666666666,0.8066666666666666,0.8066666666666666,0.8066666666666666
29015,0.92,0.92,0.0,0.92,0.92,0.92,0.92
53826,0.77,0.77,0.0,0.77,0.77,0.77,0.77
3880,0.20214285714285715,0.0,0.20214285714285715,0.20214285714285715,0.20214285714285715,0.20214285714285715,0.20214285714285715
3875,0.0,0.0,0.31625,0.31625,0.31625,0.31625,0.31625
347735,0.0,0.0,0.81,0.81,0.81,0.81,0.81
710,0.75,0.0,0.75,0.75,0.75,0.0,0.75
1999,0.0,0.0,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001,0.8700000000000001
3576,0.8666666666666667,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
23555,0.02727272727272727,0.0,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.02727272727272727,0.02727272727272727
330,0.08499999999999999,0.0,0.08499999999999999,0.08499999999999999,0.08499999999999999,0.08499999999999999,0.08499999999999999
30851,,0.0,,,,,0.0
26136,0.02782608695652174,0.0,0.02782608695652174,0.02782608695652174,0.02782608695652174,0.02782608695652174,0.02782608695652174
50848,0.2522027972027972,0.0,0.2522027972027972,0.2522027972027972,0.2522027972027972,0.2522027972027972,0.2522027972027972
81671,0.0,0.0,,,,0.0,0.0
9961,0.0,0.0,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
4072,0.0,0.0,0.06428571428571428,0.0,0.06428571428571428,0.06428571428571428,0.06428571428571428
54502,0.684375,0.0,0.684375,0.684375,0.684375,0.684375,0.684375
10550,,0.0,,,,,0.0
1891,,0.0,,,,,0.0
1312,,0.0,,,,,0.0
5245,,0.0,,,,,0.0
7341,,0.0,,,,,0.0
10542,,0.0,,,,,0.0
8815,0.0,0.0,,,,,0.0
1504,0.0,0.8475,0.8475,0.8475,0.8475,0.8475,0.8475
440387,0.0,0.9233333333333333,0.9233333333333333,0.9233333333333333,0.9233333333333333,0.9233333333333333,0.9233333333333333
23436,0.0,0.9075,0.9075,0.9075,0.9075,0.9075,0.9075
1208,0.0,0.776,0.776,0.776,0.776,0.776,0.776
5319,0.0,0.47,0.47,0.47,0.47,0.47,0.47
63036,0.0,0.89,0.89,0.89,0.89,0.89,0.89
11330,0.0,0.87,0.87,0.87,0.87,0.87,0.87
