marker_ID,EC,Fib,Kera_diff,Kera_undiff,Macro,Mela,Tcell,weight
3866,0.7039312603455276,0.7039312603455276,0.7039312603455276,0.0,0.7039312603455276,0.7039312603455276,0.7039312603455276,0.7039312603455276
1308,0.8565320304861759,0.8565320304861759,0.8565320304861759,0.0,0.8565320304861759,0.8565320304861759,0.8565320304861759,0.8565320304861759
2274,,,0.0,0.0,,,,0.0
7803,,,0.0,0.0,,0.0,,0.0
84525,0.48831253864177077,0.48831253864177077,0.0,0.0,0.48831253864177077,0.48831253864177077,0.48831253864177077,0.48831253864177077
10653,0.0887254695,0.0887254695,0.0,0.0,0.0887254695,0.0887254695,0.0887254695,0.0887254695
6665,0.6300499582288808,0.6300499582288808,0.6300499582288808,0.0,0.6300499582288808,0.6300499582288808,0.6300499582288808,0.6300499582288808
5621,,,0.0,0.0,,0.0,,0.0
9689,0.07350372669411705,0.07350372669411705,0.0,0.0,0.07350372669411705,0.0,0.07350372669411705,0.07350372669411705
3848,0.9273362184730018,0.9273362184730018,0.0,0.0,0.9273362184730018,0.0,0.9273362184730018,0.9273362184730018
2810,0.7221118247875102,0.7221118247875102,0.0,0.0,0.7221118247875102,0.0,0.7221118247875102,0.7221118247875102
388533,0.7693643546051242,0.7693643546051242,0.0,0.7693643546051242,0.7693643546051242,0.7693643546051242,0.7693643546051242,0.7693643546051242
8581,0.7891648678979188,0.7891648678979188,0.0,0.0,0.7891648678979188,0.7891648678979188,0.7891648678979188,0.7891648678979188
57402,0.8300055012965534,0.8300055012965534,0.0,0.0,0.8300055012965534,0.0,0.8300055012965534,0.8300055012965534
5268,0.9380031619724645,0.9380031619724645,0.0,0.0,0.9380031619724645,0.9380031619724645,0.9380031619724645,0.9380031619724645
5349,0.6161755028680032,0.6161755028680032,0.0,0.0,0.6161755028680032,0.0,0.6161755028680032,0.6161755028680032
3868,0.5449336377331986,0.5449336377331986,0.0,0.0,0.5449336377331986,0.5449336377331986,0.5449336377331986,0.5449336377331986
140576,0.7083333333333333,0.7083333333333333,0.0,0.0,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333
3664,0.043416149423818766,0.043416149423818766,0.0,0.0,0.043416149423818766,0.043416149423818766,0.043416149423818766,0.043416149423818766
3963,0.688770426278802,0.688770426278802,0.0,0.688770426278802,0.688770426278802,0.688770426278802,0.688770426278802,0.688770426278802
1828,0.8404731612897467,0.8404731612897467,0.0,0.8404731612897467,0.8404731612897467,0.8404731612897467,0.8404731612897467,0.8404731612897467
8673,0.595,0.595,0.0,0.0,0.0,0.0,0.595,0.595
2697,0.41,0.41,0.0,0.0,0.41,0.41,0.41,0.41
1292,0.14089492297460177,0.0,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177,0.14089492297460177
1277,,0.0,,,,,,0.0
219348,0.25101371346469753,0.0,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.25101371346469753,0.25101371346469753
1281,0.6525388179447409,0.0,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409,0.6525388179447409
1513,0.9668705339977453,0.0,0.9668705339977453,0.9668705339977453,0.9668705339977453,0.9668705339977453,0.9668705339977453,0.9668705339977453
5176,0.7419971136334578,0.0,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578,0.7419971136334578
4256,0.0,0.0,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.7755827599189722,0.7755827599189722
4239,0.4159903157253002,0.0,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002,0.4159903157253002
7130,0.9149963091757342,0.0,0.9149963091757342,0.9149963091757342,0.9149963091757342,0.9149963091757342,0.9149963091757342,0.9149963091757342
11167,,0.0,,,,,,0.0
6678,0.0,0.0,,,,0.0,,0.0
4837,0.0,0.0,,,,,,0.0
3075,0.7173035734485255,0.0,0.7173035734485255,0.7173035734485255,0.7173035734485255,0.7173035734485255,0.7173035734485255,0.7173035734485255
1293,0.7825930826507164,0.0,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.7825930826507164,0.7825930826507164
558,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02
5118,0.8916061148881612,0.0,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612,0.8916061148881612
5376,0.0,0.0,0.6086609214368442,0.6086609214368442,0.6086609214368442,0.0,0.6086609214368442,0.6086609214368442
2217,,0.0,,,0.0,0.0,,0.0
4071,0.0,0.78,0.78,0.78,0.78,0.78,0.78,0.78
3429,0.0,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.5792166453647069,0.0,0.5792166453647069,0.5792166453647069
3569,0.0,0.1701842557021957,0.1701842557021957,0.1701842557021957,0.1701842557021957,0.1701842557021957,0.1701842557021957,0.1701842557021957
10581,0.0,0.0,,,,0.0,0.0,0.0
8519,0.0,,,,,,,0.0
358,0.0,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885,0.557120275326885
2752,0.0,0.7249970237586538,0.7249970237586538,0.7249970237586538,0.7249970237586538,0.0,0.7249970237586538,0.7249970237586538
1043,0.445,0.445,0.445,0.445,0.445,0.445,0.0,0.445
9235,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.8633333333333333,0.0,0.8633333333333333
10870,0.745,0.745,0.745,0.745,0.0,0.745,0.0,0.745
9262,0.93,0.93,0.93,0.93,0.93,0.93,0.0,0.93
1638,0.49,0.49,0.49,0.49,0.49,0.0,0.49,0.49
7306,0.82,0.82,0.82,0.82,0.82,0.0,0.82,0.82
2315,0.9266666666666666,0.9266666666666666,0.9266666666666666,0.9266666666666666,0.9266666666666666,0.0,0.9266666666666666,0.9266666666666666
5354,0.8674999999999999,0.8674999999999999,0.8674999999999999,0.8674999999999999,0.8674999999999999,0.0,0.8674999999999999,0.8674999999999999
1410,0.5025,0.5025,0.5025,0.5025,0.5025,0.0,0.5025,0.5025
7299,0.79,0.79,0.79,0.79,0.79,0.0,0.79,0.79
1312,,,,,,0.0,,0.0
4718,,,,,,0.0,,0.0
55766,,,,,,0.0,,0.0
29952,0.07695652173913044,0.07695652173913044,0.07695652173913044,0.07695652173913044,0.07695652173913044,0.0,0.07695652173913044,0.07695652173913044
26521,,,,,,0.0,,0.0
6342,,,,,,0.0,,0.0
8815,,,,,,0.0,,0.0
