marker_ID,Chol,EC,Hep,Kup,Lym
HPR,0.0,0.0,0.9475263758785701,0.0,0.0
ALDH6A1,0.0,0.0,1.2427616003398403,0.0,0.0
KHK,0.0,0.0,0.999983912171895,0.0,0.0
FBP1,0.0,0.0,1.0323670884924412,0.0,0.0
IGFBP4,0.0,1.1544796577758891,1.2466075370981058,0.0,0.0
PON1,0.0,0.0,0.9689721920861115,0.0,0.0
MYO1B,0.0,0.0,1.014494746080804,0.0,0.0
ALDH4A1,0.0,0.0,0.9403339233004141,0.0,0.0
HEBP2,0.3169438152910172,0.0,1.2341027655165147,0.0,0.0
MSMO1,0.0,0.0,0.7494545550503222,0.0,0.0
LINC00261,0.0,0.0,0.9280242171809511,0.0,0.0
CYP27A1,0.0,0.0,0.9593769039239353,0.0,0.0
MST1,0.0,0.0,0.8043757254941004,0.0,0.0
TMEM205,0.22719859239083057,0.0,1.1512556793973696,0.0,0.0
CYP3A5,0.7787840745591104,0.0,0.8771970456746929,0.0,0.0
UGP2,0.0,0.0,1.2815051596403808,0.0,0.0
FMO3,0.0,0.0,0.9638377428026308,0.0,0.0
SERPINA6,0.33758493716796967,0.0,0.9068701827382767,0.0,0.0
TST,0.2528076594424465,0.0,0.9663223190341977,0.0,0.0
C6,0.0,0.0,0.8498590972228423,0.0,0.0
ADH1C,0.0,0.0,0.8289998882114679,0.0,0.0
PRG4,0.0,0.0,0.752996418965879,0.0,0.0
C2,0.0,0.0,0.876781481123948,0.0,0.0
BNIP3,0.22058881613357148,0.0,0.97278559947374,0.0,0.0
SLC13A5,0.0,0.0,0.8798943695459438,0.0,0.0
NDUFA6,0.2151621545857067,0.0,1.3095488370487474,0.0,0.0
ABHD2,0.0,0.0,0.9325515175007222,0.0,0.0
CYP2B6,0.0,0.0,0.604578994716903,0.0,0.0
RDH16,0.0,0.0,0.7480315967792672,0.0,0.0
CD81,0.0,0.538135456047968,1.3332015428293464,0.0,0.0
TMEM256,0.0,0.0,1.293857106308887,0.0,0.0
ROMO1,0.6336176546312686,0.0,1.484237792756886,0.0,0.0
BCHE,0.0,0.0,0.5739217009538097,0.0,0.0
C11orf54,0.30552107439232123,0.0,0.8816776323737118,0.0,0.0
GLUD1,0.0,0.0,0.998408313905467,0.0,0.0
QPRT,0.0,0.0,0.7958682974675906,0.0,0.0
CAT,0.0,0.0,1.0829569061355253,0.0,0.0
GSTZ1,0.0,0.0,0.7994952244484171,0.0,0.0
SUCLG2,0.0,0.0,0.9683053441487577,0.0,0.0
PRDX4,0.0,0.0,1.0203143948562408,0.0,0.0
MGMT,0.0,0.0,1.0698902121658276,0.0,0.0
APOF,0.0,0.0,0.5454605443378058,0.0,0.0
RP11-434D9.1,0.0,0.0,0.6701523446800277,0.0,0.0
PLIN2,0.0,0.0,1.0317348788898582,0.0,0.0
GLYAT,0.0,0.0,0.6482066582640836,0.0,0.0
SNHG25,0.0,0.0,1.2868057383359717,0.0,0.0
ECH1,0.4584902565283535,0.0,1.1346312595942483,0.0,0.0
A1CF,0.30552107439232123,0.0,0.7369584811236394,0.0,0.0
RBP5,0.0,0.0,0.5490175271866753,0.0,0.0
AFM,0.0,0.0,0.2497488392277977,0.0,0.0
ADH6,0.0,0.0,0.6511156122417697,0.0,0.0
ACADVL,0.0,0.0,0.8392646661933051,0.0,0.0
HINT2,0.0,0.0,1.0045538423175038,0.0,0.0
MFSD2A,0.0,0.0,0.28576264994021955,0.0,0.0
C8A,0.0,0.0,0.40177850298957263,0.0,0.0
MLXIPL,0.0,0.0,0.3359328118733643,0.0,0.0
TMED2,0.47494868064344076,0.0,1.330549076531033,0.0,0.0
XBP1,0.256931405877495,0.0,1.5173171373153054,0.0,0.0
HAO1,0.0,0.0,0.5807281858720198,0.0,0.0
AQP9,0.0,0.0,0.650017340685155,0.0,0.0
PCK2,0.0,0.0,0.5837548018864614,0.0,0.0
RP11-403I13.5,0.0,0.0,0.27944872114569885,0.0,0.0
