marker_ID,Basal,EC,Fat,Fib,Luminal,Lym,MP
CHCHD10,0.0,0.0,0.0,0.0,0.7713368671454713,0.0,0.0
GATA3,0.6126864390620268,0.0,0.0,0.0,0.6167011014695358,0.0,0.0
CHMP2B,0.46295745260207255,0.0,0.0,0.0,0.7234683742749072,0.0,0.0
IRF6,0.4505786503548054,0.0,0.0,0.0,0.5723483535417714,0.0,0.0
ATP5ME,0.917253174020653,0.0,0.0,0.0,0.935720563202803,0.0,0.7718772796111881
PRELID1,0.8379046505391066,0.0,0.0,0.0,1.0626186860202043,0.0,0.7721926948787029
HEL-75,0.5362137596374821,0.0,0.0,0.0,0.599803182257153,0.0,0.0
ECH1,0.5284978847816724,0.0,0.0,0.0,0.7823503852539695,0.0,0.0
C9orf88,0.7908603133524623,0.0,0.0,0.0,0.7923171271374435,0.0,0.0
CNPY2,0.45469899962605137,0.0,0.0,0.0,0.7224585663347904,0.0,0.0
H1-0,0.0,0.0,0.0,0.0,0.3611187784978803,0.0,0.0
TMEM134,0.0,0.0,0.0,0.0,0.8983851167303706,0.0,0.5258986030785859
ETFB,0.5445461398344823,0.0,0.0,0.0,0.7163270263389385,0.0,0.0
PLP2,0.6467359555371803,0.0,0.0,0.0,0.758340321338449,0.0,0.0
LZTS2,0.0,0.0,0.0,0.0,0.6430118319922284,0.0,0.0
VSIG10,0.0,0.0,0.0,0.0,0.5890516815739363,0.0,0.0
STK40,0.7001555753329379,0.0,0.0,0.0,0.7325507105893954,0.0,0.4462835761888896
STARD10,0.0,0.0,0.0,0.0,0.5726599042763137,0.0,0.0
MRPS21,0.49128672253680117,0.0,0.0,0.0,0.8612318568147719,0.0,0.5783066519177598
MRPL54,0.4886120710445417,0.0,0.0,0.0,0.8551566629416774,0.0,0.6676497455099637
LAD1,0.0,0.0,0.0,0.0,0.7698605521861452,0.0,0.0
CELSR2,0.0,0.0,0.0,0.0,0.5061497553639691,0.0,0.0
HEL107,0.6671499425821559,0.0,0.0,0.0,0.8234694622183776,0.0,0.6826924611314743
AQP5,0.0,0.0,0.0,0.0,0.6067424892650752,0.0,0.0
DBNDD2,0.0,0.0,0.0,0.0,0.8782636089044666,0.0,0.0
NDUFB4,0.8251714718415886,0.6570134851003232,0.0,0.0,0.9298134596035168,0.0,0.5187219891784389
RER1,0.7920225071523534,0.0,0.0,0.7747909299670619,0.893728428491835,0.0,0.5347759991463163
ATP13A3,0.423983866567312,0.0,0.0,0.0,0.6356125262979315,0.0,0.0
LAMTOR2,0.4477773773588438,0.0,0.0,0.0,0.8652146006131591,0.0,0.8073025422330169
PTPRF,0.0,0.0,0.0,0.0,0.6790035038672394,0.0,0.0
ZBTB7A,0.6951330918496523,0.0,0.0,0.0,0.7456389367422458,0.0,0.0
PFDN1,0.0,0.0,0.0,0.0,0.8315380346236716,0.0,0.0
NDUFB3,0.5009782940646095,0.0,0.0,0.0,0.7623229551773364,0.0,0.5406210297535756
DKKL1,0.0,0.0,0.0,0.0,0.3868066127536177,0.0,0.0
WSB2,0.0,0.0,0.0,0.0,0.6333439718548572,0.0,0.0
LASP1,0.0,0.0,0.0,0.0,0.5415985892541562,0.0,0.0
PRSS22,0.0,0.0,0.0,0.0,0.17194899797833163,0.0,0.0
IRX1,0.0,0.0,0.0,0.0,0.420878987783907,0.0,0.0
SSU72,0.5432879903224356,0.0,0.0,0.0,0.7410114114716568,0.0,0.0
CMTM8,0.0,0.0,0.0,0.0,0.47542534184425855,0.0,0.0
RALA,0.12096700619724633,0.0,0.0,0.0,0.7556162215424791,0.0,0.7193136074043363
HCFC1R1,0.49674507115227146,0.5491284226037805,0.0,0.7833756536046556,0.7907552895925497,0.0,0.0
