marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal,weight
915,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.0,0.8230553199390802,0.8230553199390802,0.8230553199390802,0.8230553199390802
2999,0.923541774174613,0.923541774174613,0.923541774174613,0.0,0.923541774174613,0.923541774174613,0.923541774174613,0.923541774174613
924,0.6827140370065677,0.6827140370065677,0.6827140370065677,0.0,0.6827140370065677,0.6827140370065677,0.6827140370065677,0.6827140370065677
916,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.0,0.8403474568986611,0.8403474568986611,0.8403474568986611,0.8403474568986611
3561,0.6111481469387491,0.6111481469387491,0.6111481469387491,0.0,0.0,0.6111481469387491,0.6111481469387491,0.6111481469387491
5880,0.2885714285714286,0.2885714285714286,0.0,0.0,0.0,0.0,0.2885714285714286,0.2885714285714286
3932,0.7660710097107436,0.7660710097107436,0.7660710097107436,0.0,0.7660710097107436,0.7660710097107436,0.7660710097107436,0.7660710097107436
9595,0.9589742090697976,0.9589742090697976,0.9589742090697976,0.0,0.0,0.0,0.9589742090697976,0.9589742090697976
3004,0.5393258362730357,0.5393258362730357,0.5393258362730357,0.0,0.5393258362730357,0.5393258362730357,0.5393258362730357,0.5393258362730357
54923,,,,0.0,,,,0.0
9744,0.3626719197583699,0.3626719197583699,0.3626719197583699,0.0,0.3626719197583699,0.3626719197583699,0.3626719197583699,0.3626719197583699
3385,0.6379999999999999,0.6379999999999999,0.6379999999999999,0.0,0.6379999999999999,0.6379999999999999,0.6379999999999999,0.6379999999999999
1359,0.9329324154190599,0.9329324154190599,0.0,0.9329324154190599,0.9329324154190599,0.9329324154190599,0.9329324154190599,0.9329324154190599
5996,0.880980164152612,0.880980164152612,0.0,0.0,0.880980164152612,0.880980164152612,0.880980164152612,0.880980164152612
969,0.7106283288009225,0.7106283288009225,0.0,0.0,0.7106283288009225,0.7106283288009225,0.7106283288009225,0.7106283288009225
951,0.9021819420607722,0.9021819420607722,0.0,0.0,0.0,0.0,0.9021819420607722,0.9021819420607722
10538,0.7654193000628601,0.7654193000628601,0.0,0.7654193000628601,0.7654193000628601,0.7654193000628601,0.7654193000628601,0.7654193000628601
