marker_ID,CM,EC,FB,MP,SMC
UTRN,0.0,3.074793331532285,0.0,0.0,4.036311779029913
CSRP1,0.0,0.0,2.1976358920628707,0.0,3.047968484096568
ATF3,7.052082742952738,0.0,0.0,0.0,5.466449671605942
DLC1,0.0,1.6763848979529072,0.0,0.0,2.904631616916525
CLMN,2.4133203757871478,0.0,0.0,0.0,3.4994017331887504
FILIP1L,0.0,0.0,3.2152297145278768,0.0,4.211067243513851
PKIG,5.037127408198619,0.0,3.746968629389059,0.0,4.76898043554342
PTEN,0.0,0.0,1.9613612358362587,0.0,2.7357592252738305
APOLD1,0.0,1.8602605422623946,0.0,0.0,1.9344828752787746
NR2F2,0.0,0.0,0.0,0.0,4.00450087099863
COL27A1,1.4048480323782244,0.0,0.0,0.0,1.8873791292028832
TPM2,7.121174559334726,0.0,0.0,0.0,6.376513570718728
KLHL23,0.0,0.0,0.0,0.0,3.464316578934353
LBH,0.0,0.0,0.0,0.0,4.721190398640167
RGS5,0.0,0.0,0.0,0.0,10.153324467820273
MYH11,0.0,0.0,0.0,0.0,7.860508380417057
PPP1R14A,0.0,0.0,0.0,0.0,8.106083686302853
ACTA2,0.0,0.0,0.0,0.0,7.590318618096336
LMOD1,0.0,0.0,0.0,0.0,4.384717350505775
MCAM,0.0,0.0,0.0,0.0,7.1693019636662
CPE,0.0,0.0,0.0,0.0,6.391491711786017
NOTCH3,0.0,0.0,0.0,0.0,7.1690201891696335
AGT,0.0,0.0,0.0,0.0,5.3817606234149675
IGFBP5,0.0,0.0,3.340996714035676,0.0,7.180461395915174
FLNA,0.0,0.0,0.0,0.0,6.220196170891389
FABP4,0.0,0.0,0.0,0.0,5.130791360545235
HES1,0.0,0.0,6.967491880557674,0.0,7.490028526063073
PLA2G5,0.0,0.0,4.020685257939069,0.0,4.643630169884096
CD9,0.0,0.0,0.0,0.0,3.0329817072961376
PPP1R12A,0.0,0.0,0.0,0.0,6.123378440941886
COX6A1P2,0.0,0.0,0.0,0.0,4.910736101695375
LPP,4.120493342887697,0.0,0.0,0.0,5.618206766268134
NRP1,0.0,0.0,0.0,0.0,4.312389349933617
MYH9,0.0,0.0,0.0,0.0,5.376915778969863
TLN1,4.253363558236459,0.0,0.0,0.0,5.152334849837987
RHOB,4.6757094046850005,0.0,0.0,0.0,5.404080345664496
ARHGDIB,0.0,0.0,0.0,5.695410927668139,0.0
KLF6,0.0,0.0,4.5821457827279,6.488811190551441,0.0
HSPH1,4.17674603636706,0.0,0.0,5.503325760679179,0.0
GAS5,0.0,0.0,0.0,4.4803067497879985,0.0
TPM3,0.0,0.0,0.0,3.8110804925147463,0.0
DNAJA1,4.874230111536694,0.0,5.826080961406467,6.604101645253831,0.0
BTG1,0.0,0.0,0.0,4.643089250782465,0.0
CTSB,6.911826438444941,0.0,5.690770998915303,7.674343012658575,0.0
RPS19P1,0.0,0.0,0.0,4.423815825868028,0.0
NFKBIA,0.0,6.172017774773858,5.31879139763579,6.4162578475287075,0.0
EEF1A1P9,0.0,0.0,4.895861129095187,5.279230287154233,0.0
ZFP36L2,4.193158792139598,0.0,4.811884934016353,5.5821408174554925,0.0
HSPD1,5.896152032872311,0.0,0.0,6.149429784979482,0.0
RPL28,5.121774338842869,0.0,0.0,5.740126921447837,0.0
YWHAZ,0.0,0.0,0.0,3.9413112881463115,0.0
AC016708.2,4.973957193966323,0.0,5.617546256231911,5.620865337822532,0.0
SCAF11,5.024766652725676,0.0,0.0,5.429395064261179,0.0
HSP90AA2P,6.507384097876939,0.0,3.372797731272195,6.552780210048892,0.0
AB019441.29,5.78430996017494,0.0,5.659883510662604,6.110453637948992,0.0
RP11-51O6.1,6.025314776140598,0.0,5.353644646895602,6.153466445627956,0.0
AC010468.1,6.082931927499892,0.0,5.978867363094029,6.434951734743062,0.0
C7,0.0,0.0,11.68983656435568,0.0,0.0
CFD,0.0,0.0,10.116156833105112,0.0,0.0
C1R,0.0,0.0,9.26145201682911,0.0,0.0
SERPINF1,0.0,0.0,8.673142832567986,0.0,0.0
ADH1B,0.0,0.0,8.62939528951572,0.0,0.0
LUM,0.0,0.0,8.471929010156847,0.0,0.0
APOD,0.0,0.0,8.326830687666153,0.0,0.0
CCDC80,0.0,0.0,8.345919027814116,0.0,0.0
ABCA8,0.0,0.0,7.652344637434328,0.0,0.0
PTN,0.0,0.0,7.873783867215598,0.0,0.0
COL1A2,0.0,0.0,8.603611290446878,0.0,0.0
